full_name,monetary,frequency,recency,rfm_segment
Eka Wulandari,15909147,32,7,"slipping away, cannot lose"
Eka Yolanda,3729002,9,132,potential churners
Eka Yulianti,66169589,85,13,loyal
Eka Yuliarti,414249152,266,28,loyal
Eka Yuniar,215948294,112,0,loyal
Eka Zulaika,143099730,43,66,active
Eko Adriansyah,393153,1,663,lost_customers
Eko Budiyanto,83750823,59,33,loyal
Eko Damanik,4310587,4,515,lost_customers
Eko Gunarto,13979572,15,137,potential churners
Eko Hakim,15915380,13,65,potential churners
Eko Haryanto,29874823,42,2,"slipping away, cannot lose"
Eko Hidayanto,118638791,170,21,loyal
Eko Hidayat,90844637,53,21,loyal
Eko Iswahyudi,98777178,65,26,loyal
Eko Latupono,368734,2,15,lost_customers
Eko Mahendra,1371603,5,143,lost_customers
Eko Maheswara,76666,1,113,lost_customers
Eko Mandala,9699199,26,59,potential churners
Eko Mangunsong,5024857,9,73,potential churners
Eko Maryadi,198318926,121,5,loyal
Eko Maulana,61553603,22,17,loyal
Eko Najmudin,16529451,23,123,active
Eko Napitupulu,9137647,26,38,potential churners
Eko Nashiruddin,3657943,10,33,potential churners
Eko Pangestu,73203648,80,39,loyal
Eko Prabowo,10615978,27,65,
Eko Prakasa,98405870,89,30,loyal
Eko Pratama,513749,2,339,lost_customers
Eko Prayoga,8794286,14,50,potential churners
Eko Putra,54838489,36,7,"slipping away, cannot lose"
Eko Rajata,94521,1,418,lost_customers
Eko Saputra,882997,4,25,
Eko Simbolon,10770530,13,28,potential churners
Eko Wacana,5221993,9,93,potential churners
Eko Wahyudin,8931384,10,203,
Eko Wasita,666492,3,168,lost_customers
Eko Wibisono,12655956,19,163,
Eko Widodo,18919256,19,2,"slipping away, cannot lose"
Eko Wijaya,1864264,1,734,lost_customers
Eli Agustina,64673262,63,112,
Eli Andriani,24353907,13,0,
Eli Anggraini,1545265,4,279,lost_customers
Eli Aryani,4517726,14,110,potential churners
Eli Astuti,1921868,7,247,lost_customers
Eli Farida,54197599,49,31,active
Eli Fujiati,957748,2,70,lost_customers
Eli Halimah,75188980,50,19,loyal
Eli Handayani,21957432,28,81,active
Eli Hariyah,5530202,17,20,
Eli Hartati,5065879,15,32,potential churners
Eli Haryanti,30654787,33,47,active
Eli Hasanah,5990573,16,93,potential churners
Eli Hassanah,64269845,80,13,loyal
Eli Hastuti,52117772,48,0,"slipping away, cannot lose"
Eli Kusmawati,51178017,42,76,active
Eli Kuswandari,4501508,10,93,potential churners
Eli Lailasari,80654268,109,26,loyal
Eli Laksita,13429736,33,69,
Eli Laksmiwati,52109714,89,7,"slipping away, cannot lose"
Eli Lestari,18203907,25,54,active
Eli Mandasari,161045661,152,1,loyal
Eli Mardhiyah,14188497,26,58,active
Eli Maryati,56250500,59,45,"slipping away, cannot lose"
Eli Mayasari,1369755,4,277,lost_customers
Eli Melani,252290787,279,6,loyal
Eli Mulyani,37743122,66,32,"slipping away, cannot lose"
Eli Namaga,118405899,157,49,loyal
Eli Nasyiah,1930514,4,228,lost_customers
Eli Nasyidah,3041747,7,296,
Eli Novitasari,9186208,26,7,
Eli Nuraini,13212485,9,125,potential churners
Eli Nurdiyanti,11676609,16,155,potential churners
Eli Padmasari,29021974,24,13,"slipping away, cannot lose"
Eli Permata,13283493,13,93,potential churners
Eli Pertiwi,179344089,165,22,loyal
Eli Prastuti,136423700,110,9,loyal
Eli Pratiwi,221719164,66,8,loyal
Eli Pudjiastuti,30895861,25,48,active
Eli Purnawati,99402437,95,14,loyal
Eli Purwanti,191333152,141,8,loyal
Eli Puspita,81718,1,1120,lost_customers
Eli Rahayu,33179731,26,13,"slipping away, cannot lose"
Eli Rahimah,13018043,30,24,
Eli Rahmawati,639293,2,186,lost_customers
Eli Riyanti,106591536,83,9,loyal
Eli Safitri,6625337,12,94,potential churners
Eli Suartini,141468178,74,18,loyal
Eli Sudiati,4709180,11,177,potential churners
Eli Suryatmi,24465626,13,305,active
Eli Susanti,5431733,16,7,
Eli Usamah,156204375,117,17,loyal
Eli Utami,119053758,122,12,loyal
Eli Uyainah,54644891,61,35,"slipping away, cannot lose"
Eli Wahyuni,3465883,6,455,
Eli Wastuti,100368331,88,21,loyal
Eli Widiastuti,1591776,3,887,lost_customers
Eli Wijayanti,17896253,18,323,active
Eli Winarsih,103960311,66,9,loyal
Eli Wulandari,50181628,30,130,active
Eli Yolanda,305834402,78,21,loyal
Eli Yulianti,333021645,253,0,loyal
Eli Yuliarti,570678,2,57,
Eli Yuniar,3311193,7,126,potential churners
Eli Zulaika,25360547,35,77,active
Elisa Agustina,180870930,144,7,loyal
Elisa Anggraini,301813468,199,3,loyal
Elisa Aryani,97559728,77,6,loyal
Elisa Astuti,7799481,16,70,potential churners
Elisa Farida,23254127,16,55,active
Elisa Fujiati,137915693,130,10,loyal
Elisa Halimah,8841899,18,35,potential churners
Elisa Handayani,321556,1,1407,lost_customers
Elisa Hariyah,2193142,2,980,lost_customers
Elisa Hartati,146396875,168,5,loyal
Elisa Hasanah,10136834,18,76,potential churners
Elisa Hassanah,1059184,4,23,lost_customers
Elisa Hastuti,51386445,86,13,"slipping away, cannot lose"
Elisa Kusmawati,4718256,10,129,potential churners
Elisa Kuswandari,6855369,7,76,potential churners
Elisa Lailasari,825925,3,87,lost_customers
Elisa Laksmiwati,31955429,47,37,active
Elisa Lestari,647159,5,277,lost_customers
Elisa Mandasari,12475814,33,28,potential churners
Elisa Maryati,33645539,41,48,active
Elisa Melani,7206085,7,174,potential churners
Elisa Mulyani,11048579,13,12,
Elisa Namaga,66416352,22,59,loyal
Elisa Nasyidah,1111654,3,158,lost_customers
Elisa Novitasari,115007698,115,43,loyal
Elisa Nuraini,1127192,2,1114,lost_customers
Elisa Nurdiyanti,4709463,14,17,
Elisa Oktaviani,24297193,35,30,active
Elisa Padmasari,1048924,3,273,lost_customers
Elisa Palastri,582215,2,288,lost_customers
Elisa Permata,254511066,275,17,loyal
Elisa Pertiwi,87370394,107,15,loyal
Elisa Prastuti,913696,3,238,lost_customers
Elisa Pratiwi,55111191,36,0,"slipping away, cannot lose"
Elisa Pudjiastuti,5180372,11,280,
Elisa Purnawati,114252645,174,12,loyal
Elisa Purwanti,1090326,3,157,lost_customers
Elisa Puspasari,218178766,107,31,loyal
Elisa Puspita,67626227,103,6,loyal
Elisa Rahayu,323066396,253,4,loyal
Elisa Rahimah,118405268,142,49,loyal
Elisa Rahmawati,296863646,228,40,loyal
Elisa Riyanti,60512695,50,38,loyal
Elisa Sudiati,140245090,211,24,loyal
Elisa Suryatmi,62026651,40,77,active
Elisa Susanti,407422761,105,27,loyal
Elisa Usada,55858708,97,0,"slipping away, cannot lose"
Elisa Usamah,6058522,6,875,
Elisa Utami,939734,2,189,lost_customers
Elisa Uyainah,3069424,8,165,potential churners
Elisa Wahyuni,19647324,18,227,active
Elisa Wastuti,110793666,173,6,loyal
Elisa Widiastuti,2340925,7,157,potential churners
Elisa Wijayanti,89096652,97,34,loyal
Elisa Winarsih,2850935,5,257,lost_customers
Elisa Wulandari,6131337,19,104,
Elisa Yulianti,63609948,50,62,loyal
Elisa Yuliarti,9755862,12,186,potential churners
Elisa Yuniar,32302932,46,17,"slipping away, cannot lose"
Ella Agustina,21143579,18,153,potential churners
Ella Andriani,6495728,9,562,
Ella Anggraini,12252865,21,113,
Ella Aryani,205323777,255,1,loyal
Ella Astuti,111424124,42,18,loyal
Ella Farida,85142328,71,0,loyal
Ella Fujiati,72148412,81,17,loyal
Ella Halimah,70535290,77,8,loyal
Ella Handayani,46058787,57,17,"slipping away, cannot lose"
Ella Hariyah,129279102,76,26,loyal
Ella Hartati,230334,1,409,lost_customers
Ella Haryanti,165305316,227,36,loyal
Ella Hasanah,86756591,91,27,loyal
Ella Hassanah,97373275,127,16,loyal
Ella Hastuti,518418,2,120,lost_customers
Ella Kusmawati,1171511,3,214,lost_customers
Ella Kuswandari,190417564,95,32,loyal
Ella Lailasari,36204726,26,122,active
Ella Laksita,144732599,124,12,loyal
Ella Laksmiwati,28977211,16,142,potential churners
Ella Lestari,105641488,31,15,loyal
Ella Mandasari,73067078,92,53,loyal
Ella Mardhiyah,8301249,12,182,potential churners
Ella Maryati,514053,2,168,lost_customers
Ella Melani,26276199,39,7,"slipping away, cannot lose"
Ella Namaga,217410811,128,21,loyal
Ella Nasyiah,6139423,16,15,
Ella Nasyidah,61803892,23,100,active
Ella Novitasari,640636,2,1095,lost_customers
Ella Nuraini,1179962,2,899,lost_customers
Ella Nurdiyanti,50880655,34,117,active
Ella Oktaviani,3703621,5,104,lost_customers
Ella Padmasari,5319989,13,28,potential churners
Ella Palastri,25355743,44,70,active
Ella Permata,26597285,37,34,active
Ella Pertiwi,315587564,130,3,loyal
Ella Prastuti,236385347,214,18,loyal
Ella Pratiwi,10498072,16,133,potential churners
Ella Pudjiastuti,3872064,2,250,lost_customers
Ella Purnawati,15055297,26,14,"slipping away, cannot lose"
Ella Purwanti,4800402,10,38,potential churners
Ella Puspasari,22103104,18,223,active
Ella Puspita,3125885,9,41,potential churners
Ella Rahimah,5683140,10,25,potential churners
Ella Rahmawati,421963782,323,18,loyal
Ella Riyanti,907979,3,48,
Ella Safitri,34396500,44,3,"slipping away, cannot lose"
Ella Suartini,7895885,10,135,potential churners
Ella Sudiati,1712559,4,182,lost_customers
Ella Suryatmi,64248885,76,34,loyal
Ella Susanti,5981689,18,74,potential churners
Ella Usada,3404905,8,44,potential churners
Ella Utami,12243108,25,117,
Ella Uyainah,477456538,122,31,loyal
Ella Wahyuni,69968259,63,72,
Ella Wastuti,9604089,13,123,potential churners
Ella Widiastuti,285724,1,517,lost_customers
Ella Wijayanti,5718717,18,32,potential churners
Ella Winarsih,351200,1,473,lost_customers
Ella Wulandari,93183603,69,10,loyal
Ella Yolanda,6855543,16,98,potential churners
Ella Yulianti,255164476,185,29,loyal
Ella Yuliarti,4371290,16,51,potential churners
Ella Yuniar,25626732,28,99,active
Ella Zulaika,45060354,49,48,active
Ellis Agustina,704361,4,29,
Ellis Andriani,43373665,64,23,"slipping away, cannot lose"
Ellis Anggraini,43473447,23,21,"slipping away, cannot lose"
Ellis Aryani,103898480,88,24,loyal
Ellis Astuti,7544120,11,199,
Ellis Farida,181156801,157,16,loyal
Ellis Fujiati,15170268,19,120,active
Ellis Halimah,8445600,20,56,potential churners
Ellis Handayani,19433025,38,9,"slipping away, cannot lose"
Ellis Hartati,46735368,89,3,"slipping away, cannot lose"
Ellis Hassanah,50031777,28,92,active
Ellis Hastuti,109250855,62,17,loyal
Ellis Kuswandari,43563667,40,66,active
Ellis Lailasari,728768,2,396,lost_customers
Ellis Laksita,39235818,51,35,active
Ellis Lestari,59631246,88,33,loyal
Ellis Mandasari,3617091,9,102,potential churners
Ellis Mardhiyah,18362479,17,25,active
Ellis Maryati,128121828,139,27,loyal
Ellis Mayasari,7292628,17,133,potential churners
Ellis Melani,27411760,44,20,"slipping away, cannot lose"
Ellis Namaga,94334374,75,15,loyal
Ellis Nasyiah,1163056,5,62,
Ellis Nuraini,195915,1,627,lost_customers
Ellis Nurdiyanti,842771,3,240,lost_customers
Ellis Oktaviani,590576,1,601,lost_customers
Ellis Palastri,805439,3,519,lost_customers
Ellis Permata,521325088,465,5,loyal
Ellis Pertiwi,442602,1,2034,lost_customers
Ellis Prastuti,1322389,5,88,lost_customers
Ellis Pratiwi,68216065,59,51,loyal
Ellis Pudjiastuti,5249729,5,1000,lost_customers
Ellis Purnawati,4589759,10,80,potential churners
Ellis Purwanti,40965794,65,14,"slipping away, cannot lose"
Ellis Puspasari,87698600,58,124,
Ellis Puspita,105127624,104,14,loyal
Ellis Rahayu,629545,1,385,lost_customers
Ellis Rahimah,17566041,21,70,active
Ellis Rahmawati,97244533,59,24,loyal
Ellis Safitri,723552548,391,3,loyal
Ellis Suartini,138278932,153,35,loyal
Ellis Sudiati,998309,4,441,lost_customers
Ellis Suryatmi,17928974,30,12,"slipping away, cannot lose"
Ellis Usada,534378,1,175,lost_customers
Ellis Usamah,1087555,5,202,lost_customers
Ellis Utami,140889467,183,77,
Ellis Uyainah,135193,1,85,lost_customers
Ellis Wastuti,42176773,40,32,active
Ellis Widiastuti,48252832,44,1,"slipping away, cannot lose"
Ellis Wijayanti,7680995,16,46,potential churners
Ellis Winarsih,206141254,92,45,loyal
Ellis Wulandari,68658553,49,44,loyal
Ellis Yolanda,39062220,77,24,"slipping away, cannot lose"
Ellis Yulianti,40986721,87,0,"slipping away, cannot lose"
Ellis Yuliarti,12946514,23,19,
Ellis Yuniar,213178709,178,14,loyal
Ellis Zulaika,21077533,45,3,"slipping away, cannot lose"
Elma Agustina,191743720,231,0,loyal
Elma Andriani,4155754,10,237,
Elma Anggraini,2648064,3,883,lost_customers
Elma Aryani,156236135,82,42,loyal
Elma Astuti,54019659,64,5,"slipping away, cannot lose"
Elma Farida,150851811,225,3,loyal
Elma Fujiati,23699563,27,160,active
Elma Halimah,23733604,44,25,active
Elma Handayani,1645906,5,294,lost_customers
Elma Hartati,10226733,16,13,
Elma Haryanti,12232881,13,33,potential churners
Elma Hasanah,4844020,11,69,potential churners
Elma Hastuti,2315586,8,59,potential churners
Elma Kusmawati,2237524,4,357,lost_customers
Elma Kuswandari,18672704,19,71,active
Elma Lailasari,8772765,24,73,
Elma Laksmiwati,918794,4,21,lost_customers
Elma Lestari,3205738,11,196,potential churners
Elma Mandasari,102823892,62,50,loyal
Elma Mardhiyah,425253996,246,8,loyal
Elma Maryati,123780418,69,27,loyal
Elma Mayasari,9149979,11,74,potential churners
Elma Melani,43810440,42,13,"slipping away, cannot lose"
Elma Nasyiah,2923241,6,555,
Elma Nasyidah,3361763,10,36,potential churners
Elma Novitasari,221985,1,1245,lost_customers
Elma Nuraini,76279417,66,8,loyal
Elma Nurdiyanti,1317400,1,1631,lost_customers
Elma Oktaviani,2915214,6,135,potential churners
Elma Padmasari,63939245,91,10,loyal
Elma Palastri,8503426,20,100,
Elma Permata,150829570,123,3,loyal
Elma Pertiwi,2290168,7,68,potential churners
Elma Pratiwi,7682860,19,7,
Elma Purnawati,117390065,119,69,
Elma Purwanti,3760417,15,8,
Elma Puspasari,15519949,23,115,active
Elma Rahayu,3723983,5,784,lost_customers
Elma Rahimah,101443561,87,41,loyal
Elma Rahmawati,28547484,66,32,"slipping away, cannot lose"
Elma Riyanti,486425910,441,7,loyal
Elma Safitri,1611898,6,3,
Elma Suartini,36359806,58,24,"slipping away, cannot lose"
Elma Suryatmi,77332703,114,27,loyal
Elma Usamah,22879224,26,78,active
Elma Utami,3012981,4,162,lost_customers
Elma Uyainah,36007158,70,24,"slipping away, cannot lose"
Elma Wahyuni,23556731,35,33,active
Elma Wastuti,26284331,31,67,active
Elma Widiastuti,23835651,30,24,"slipping away, cannot lose"
Elma Wijayanti,5198600,7,91,potential churners
Elma Winarsih,160459281,212,25,loyal
Elma Wulandari,12279726,16,104,potential churners
Elma Yolanda,88031209,124,0,loyal
Elma Yulianti,12265576,11,174,potential churners
Elma Yuliarti,5487845,14,34,potential churners
Elma Yuniar,13579224,16,109,potential churners
Elma Zulaika,34443602,36,19,"slipping away, cannot lose"
Elon Adriansyah,33226124,30,37,active
Elon Damanik,89686202,139,0,loyal
Elon Firgantoro,2655622,7,99,potential churners
Elon Gunarto,67682651,124,5,loyal
Elon Hardiansyah,7221064,4,85,lost_customers
Elon Haryanto,26007573,10,24,
Elon Hutagalung,45290878,23,35,active
Elon Hutasoit,248023,1,714,lost_customers
Elon Kurniawan,5623417,9,151,potential churners
Elon Mansur,33577850,10,1182,active
Elon Marbun,21743573,16,219,active
Elon Maulana,131138343,140,71,
Elon Natsir,458462,2,931,lost_customers
Elon Pradana,327612,2,731,lost_customers
Elon Pradipta,11779683,6,11,
Elon Prakasa,5417115,9,140,potential churners
Elon Rajata,73422090,27,41,loyal
Elon Saragih,4598467,13,55,potential churners
Elon Sihombing,27996097,34,64,active
Elon Simanjuntak,34392671,57,28,"slipping away, cannot lose"
Elon Simbolon,40809443,18,32,active
Elon Sinaga,20228719,33,35,active
Elon Sirait,699559,1,97,lost_customers
Elon Situmorang,19258629,26,62,active
Elon Tarihoran,628186,2,167,lost_customers
Elon Utama,340214,2,501,lost_customers
Elon Wacana,7068433,7,231,
Elon Wahyudin,144096,1,58,
Elon Wibowo,12187971,24,37,potential churners
Elon Widodo,1321742,4,273,lost_customers
Elon Winarno,110361680,77,34,loyal
Eluh Ardianto,107074455,73,9,loyal
Eluh Haryanto,21720229,50,50,active
Eluh Hidayanto,90290968,39,16,loyal
Eluh Hutasoit,432602,2,292,lost_customers
Eluh Januar,17320492,10,62,active
Eluh Kuswoyo,23685892,24,18,"slipping away, cannot lose"
Eluh Lazuardi,328454,1,1826,lost_customers
Eluh Mansur,61425749,78,19,loyal
Eluh Nababan,16428762,11,217,active
Eluh Nashiruddin,4196154,9,232,
Eluh Nugroho,1115463,3,204,lost_customers
Eluh Pradana,30796799,41,6,"slipping away, cannot lose"
Eluh Pranowo,9945680,19,42,potential churners
Eluh Rajasa,7665542,7,31,potential churners
Eluh Salahudin,95781418,86,6,loyal
Eluh Santoso,113335232,121,8,loyal
Eluh Sihombing,15102362,20,116,active
Eluh Sinaga,49360508,49,34,active
Eluh Siregar,641296,3,344,lost_customers
Eluh Sitorus,152985780,94,12,loyal
Eluh Zulkarnain,1184971,1,168,lost_customers
Elvin Ardianto,2132475,4,321,lost_customers
Elvin Dabukke,9538490,11,146,potential churners
Elvin Gunarto,620363,2,94,lost_customers
Elvin Halim,23091338,34,52,active
Elvin Haryanto,44856433,17,68,potential churners
Elvin Hidayanto,5185575,15,50,potential churners
Elvin Irawan,36036266,24,85,active
Elvin Januar,222741230,200,17,loyal
Elvin Kurniawan,16897442,20,133,active
Elvin Kusumo,693344,2,45,
Elvin Kuswoyo,45133661,63,29,"slipping away, cannot lose"
Elvin Lazuardi,578648,1,937,lost_customers
Elvin Marbun,6323853,5,15,
Elvin Maulana,5590740,14,50,potential churners
Elvin Megantara,6426467,18,92,potential churners
Elvin Nababan,2054621,3,95,lost_customers
Elvin Nainggolan,72239294,119,2,loyal
Elvin Nashiruddin,109213535,72,42,loyal
Elvin Natsir,43654366,42,54,active
Elvin Pangestu,95276963,67,23,loyal
Elvin Prasasta,5645563,8,87,potential churners
Elvin Pratama,784954,4,92,lost_customers
Elvin Prayoga,1520254,6,207,lost_customers
Elvin Rajasa,182785584,210,6,loyal
Elvin Salahudin,8777686,21,70,
Elvin Setiawan,1705944,4,42,
Elvin Simanjuntak,1212455,5,112,lost_customers
Elvin Sinaga,28210061,48,0,"slipping away, cannot lose"
Elvin Sirait,2628778,4,315,lost_customers
Elvin Siregar,426917,2,371,lost_customers
Elvin Utama,14195535,16,33,active
Elvin Wahyudin,20137346,39,55,active
Elvin Wasita,8655435,27,17,
Elvin Widodo,200803,1,631,lost_customers
Elvin Wijaya,3123893,6,554,
Elvin Winarno,98768399,101,27,loyal
Elvina Andriani,772756,3,73,lost_customers
Elvina Anggraini,146773122,49,57,loyal
Elvina Aryani,43786401,31,55,active
Elvina Astuti,34128990,38,73,active
Elvina Farida,50497420,59,58,"slipping away, cannot lose"
Elvina Fujiati,12766063,25,82,
Elvina Halimah,118553712,108,28,loyal
Elvina Handayani,62166749,15,592,
Elvina Hariyah,89602461,74,80,
Elvina Hartati,49729241,38,37,active
Elvina Haryanti,23962534,39,24,"slipping away, cannot lose"
Elvina Hassanah,23189584,45,1,"slipping away, cannot lose"
Elvina Hastuti,19373998,16,262,active
Elvina Kusmawati,24967510,34,14,"slipping away, cannot lose"
Elvina Lailasari,1910811,6,252,lost_customers
Elvina Laksita,866795,1,142,lost_customers
Elvina Laksmiwati,22642491,23,60,active
Elvina Lestari,1871580,5,337,lost_customers
Elvina Mandasari,1755102,6,237,lost_customers
Elvina Mardhiyah,32978459,24,37,active
Elvina Maryati,517489,2,198,lost_customers
Elvina Melani,91717394,28,213,
Elvina Mulyani,17228504,45,7,"slipping away, cannot lose"
Elvina Namaga,111818519,138,30,loyal
Elvina Nasyiah,61358178,75,45,loyal
Elvina Nasyidah,63201056,49,35,loyal
Elvina Nuraini,94635417,116,0,loyal
Elvina Nurdiyanti,363072,1,69,lost_customers
Elvina Oktaviani,120613232,109,37,loyal
Elvina Padmasari,99711119,34,86,active
Elvina Palastri,3437491,12,80,potential churners
Elvina Permata,10155670,11,425,
Elvina Pertiwi,37955903,55,25,"slipping away, cannot lose"
Elvina Prastuti,20546143,37,4,"slipping away, cannot lose"
Elvina Pratiwi,121000059,116,43,loyal
Elvina Pudjiastuti,53334108,103,1,"slipping away, cannot lose"
Elvina Purnawati,163326973,107,8,loyal
Elvina Purwanti,37157252,49,45,active
Elvina Puspasari,612677,2,145,lost_customers
Elvina Puspita,106915742,53,45,loyal
Elvina Rahimah,219502828,194,2,loyal
Elvina Rahmawati,27815358,51,40,active
Elvina Riyanti,12010329,23,11,
Elvina Suartini,150328962,202,4,loyal
Elvina Sudiati,221378229,66,67,
Elvina Suryatmi,58756569,48,43,loyal
Elvina Susanti,11774912,8,803,
Elvina Usada,141942411,146,36,loyal
Elvina Utami,81004837,68,37,loyal
Elvina Uyainah,82865174,127,4,loyal
Elvina Wahyuni,212883348,101,9,loyal
Elvina Wastuti,22796225,37,13,"slipping away, cannot lose"
Elvina Widiastuti,227179254,170,13,loyal
Elvina Wijayanti,22931622,20,171,active
Elvina Winarsih,1368727,6,192,lost_customers
Elvina Yolanda,77301383,79,24,loyal
Elvina Yulianti,312402027,233,1,loyal
Elvina Yuliarti,67140226,119,48,loyal
Elvina Yuniar,27769254,27,59,active
Elvina Zulaika,1686012,6,31,lost_customers
Eman Ardianto,41465783,23,110,active
Eman Budiyanto,142280695,56,25,loyal
Eman Dongoran,816590,1,216,lost_customers
Eman Gunawan,4017902,12,55,potential churners
Eman Hakim,41018590,24,115,active
Eman Kurniawan,13904831,24,71,
Eman Kusumo,4128929,6,118,potential churners
Eman Maheswara,6057197,6,70,potential churners
Eman Marbun,69239322,107,32,loyal
Eman Megantara,1224216,1,785,lost_customers
Eman Napitupulu,880763,2,308,lost_customers
Eman Nashiruddin,13325103,11,184,potential churners
Eman Natsir,24706704,33,32,active
Eman Pangestu,6122710,5,420,lost_customers
Eman Prakasa,4372779,8,221,
Eman Prasetyo,3497124,5,129,lost_customers
Eman Pratama,409096,1,1771,lost_customers
Eman Rajata,10419714,10,290,
Eman Ramadan,18472282,22,106,active
Eman Saefullah,5945923,11,57,potential churners
Eman Salahudin,7612279,12,183,potential churners
Eman Saputra,3206213,6,201,
Eman Sihotang,5225322,13,117,potential churners
Eman Simanjuntak,82641891,29,90,active
Eman Sitompul,4491545,5,294,lost_customers
Eman Sitorus,1404216,5,331,lost_customers
Eman Situmorang,53756940,74,23,"slipping away, cannot lose"
Eman Wacana,40295351,26,96,active
Eman Waluyo,29094341,38,45,active
Eman Zulkarnain,267043,1,476,lost_customers
Emas Budiyanto,2118399,6,44,lost_customers
Emas Dabukke,160535,1,537,lost_customers
Emas Damanik,7634921,18,70,potential churners
Emas Dongoran,238147,1,1089,lost_customers
Emas Gunarto,78877919,42,97,active
Emas Gunawan,25029355,11,167,potential churners
Emas Hakim,18286525,34,41,active
Emas Hidayat,31354894,15,84,potential churners
Emas Kusumo,23513417,20,94,active
Emas Latupono,3450917,8,205,
Emas Mahendra,2483483,5,107,lost_customers
Emas Mansur,263106,1,1475,lost_customers
Emas Manullang,13049278,21,64,
Emas Maryadi,10990474,22,92,
Emas Nababan,21910339,27,34,active
Emas Nashiruddin,176871106,165,22,loyal
Emas Natsir,6081888,3,1736,lost_customers
Emas Pangestu,483667,1,1433,lost_customers
Emas Permadi,14152591,9,290,active
Emas Pratama,5496660,12,163,potential churners
Emas Rajasa,7492525,16,118,potential churners
Emas Rajata,1446955,6,95,lost_customers
Emas Saefullah,44062802,50,28,active
Emas Salahudin,11459561,15,0,
Emas Saptono,17253217,21,81,active
Emas Saputra,7656606,10,47,potential churners
Emas Saragih,34267854,18,215,active
Emas Sihotang,194162,1,1241,lost_customers
Emas Simbolon,4600186,11,80,potential churners
Emas Sirait,8311519,13,23,
Emas Sitompul,741208,2,632,lost_customers
Emas Tarihoran,21282988,22,27,active
Emas Wacana,11116129,16,27,potential churners
Emas Wasita,2150387,6,136,lost_customers
Emas Wibowo,247452,1,736,lost_customers
Emas Winarno,12821146,14,110,potential churners
Embuh Adriansyah,9261874,22,85,
Embuh Ardianto,22111562,14,195,potential churners
Embuh Budiman,186133315,171,5,loyal
Embuh Firmansyah,42945888,13,55,active
Embuh Gunawan,6371246,7,12,
Embuh Haryanto,1529102,4,119,lost_customers
Embuh Kusumo,2304151,6,123,potential churners
Embuh Mansur,6219973,13,102,potential churners
Embuh Maryadi,48013427,51,0,"slipping away, cannot lose"
Embuh Mustofa,644979,3,292,lost_customers
Embuh Nashiruddin,16039279,25,61,active
Embuh Natsir,67673321,46,13,loyal
Embuh Pradana,155724286,114,8,loyal
Embuh Putra,312305,1,707,lost_customers
Embuh Ramadan,298867,1,113,lost_customers
Embuh Salahudin,319453,2,840,lost_customers
Embuh Saptono,464202,1,94,lost_customers
Embuh Saragih,2224292,2,134,lost_customers
Embuh Setiawan,4339879,9,20,
Embuh Sihotang,1522140,4,491,lost_customers
Embuh Siregar,80478947,43,98,active
Embuh Situmorang,18821035,22,66,active
Embuh Tampubolon,535253,1,849,lost_customers
Embuh Uwais,145587,1,399,lost_customers
Embuh Wacana,18870447,34,76,active
Embuh Waskita,4382262,12,116,potential churners
Embuh Wibowo,5584676,9,12,
Embuh Wijaya,45641366,28,74,active
Emil Ardianto,9032276,18,16,
Emil Dongoran,9867697,14,28,potential churners
Emil Gunarto,887649,4,22,lost_customers
Emil Haryanto,4940865,5,163,lost_customers
Emil Hutagalung,242553,1,742,lost_customers
Emil Hutapea,2645759,5,226,lost_customers
Emil Jailani,506681,2,863,lost_customers
Emil Maryadi,6459363,12,194,potential churners
Emil Megantara,11971404,26,1,
Emil Mustofa,106968410,22,62,loyal
Emil Natsir,212629,1,687,lost_customers
Emil Pangestu,53673858,39,11,"slipping away, cannot lose"
Emil Pradana,5369273,3,81,lost_customers
Emil Prasasta,657635,2,816,lost_customers
Emil Prasetya,6157449,14,153,potential churners
Emil Prasetyo,515883,2,484,lost_customers
Emil Saefullah,18333714,32,110,active
Emil Salahudin,50805089,16,8,
Emil Santoso,1510372,6,356,lost_customers
Emil Sihotang,514843,2,493,lost_customers
Emil Sinaga,964472,3,466,lost_customers
Emil Sirait,345692,1,427,lost_customers
Emil Sitompul,326755,1,764,lost_customers
Emil Sitorus,183856,1,167,lost_customers
Emil Tampubolon,21734296,22,50,active
Emil Thamrin,3909448,8,59,potential churners
Emil Wacana,4013133,11,141,potential churners
Emil Wibowo,5858560,16,97,potential churners
Emil Widodo,50494199,59,9,"slipping away, cannot lose"
Emil Zulkarnain,2765111,6,51,potential churners
Emin Ardianto,2082512,4,121,lost_customers
Emin Dongoran,54388736,28,92,active
Emin Habibi,6353567,17,11,
Emin Hutagalung,3729268,7,199,
Emin Hutapea,241326,1,350,lost_customers
Emin Irawan,41676935,52,36,active
Emin Lazuardi,15791174,31,63,active
Emin Mangunsong,162532,1,83,lost_customers
Emin Marpaung,6968795,7,598,
Emin Maryadi,149717,1,574,lost_customers
Emin Nashiruddin,65669711,65,45,loyal
Emin Pradana,164588,1,2013,lost_customers
Emin Pradipta,366490,1,726,lost_customers
Emin Prasetya,43617002,104,42,"slipping away, cannot lose"
Emin Pratama,125287,1,365,lost_customers
Emin Saefullah,2115304,4,296,lost_customers
Emin Samosir,217121,1,746,lost_customers
Emin Saputra,266196,1,202,lost_customers
Emin Sihombing,14372314,19,78,active
Emin Sinaga,33740184,60,34,"slipping away, cannot lose"
